A	Name	RAJ2000	DEJ2000	logM*	Dmean
 	 	deg	deg	[Msun]	Mpc
-	----------	---------	---------	------	-------
 	UGC08684  	205.56648	+60.77696	 9.958	 37.575
 	UGC08688  	205.87610	+43.46243	 8.977	
 	UGC08693  	206.11816	+35.19275	 9.997	
 	UGC08726  	206.95455	+40.48744	 8.986	 29.200
 	UGC08733  	207.16228	+43.41283	 9.592	 33.475
 	UGC08737  	207.06941	+68.08495	10.432	 39.129
 	UGC08756  	207.64964	+42.54122	 9.986	 33.800
 	UGC08760  	207.71026	+38.01790	 7.237	  3.632
 	UGC08795  	208.20210	+37.49099	 9.588	 43.950
 	UGC08837  	208.68976	+53.90395	 8.208	  6.033
 	UGC08839  	208.85458	+17.79473	 8.825	 22.200
 	UGC08851  	208.90935	+39.71603	 8.584	
 	UGC08877  	209.27894	+41.79298	 9.130	
 	UGC08892  	209.42130	+57.00100	 9.158	 29.700
 	UGC08899  	209.73044	+21.98847	 9.250	
 	UGC08909  	209.65779	+60.79677	 9.388	
 	UGC08988  	210.83478	+60.99013	 9.631	 43.960
 	UGC08995  	211.19737	+08.80103	 9.238	 23.575
 	UGC09056  	212.33937	+49.03854	 9.496	
 	UGC09057  	212.55375	-02.57593	 9.461	 26.600
 	NGC0865   	034.06298	+28.59969	10.160	 36.020
 	NGC0895   	035.40202	-05.52128	10.383	 29.637
 	IC3322A   	186.42799	+07.21682	10.101	 26.431
 	IC3355    	186.71189	+13.17791	 5.998	
 	IC3356    	186.71070	+11.55883	 8.574	 17.700
 	IC3371    	186.84270	+10.86680	 9.085	 34.900
 	IC3391    	187.11369	+18.41510	 9.816	 30.233
 	IC3392    	187.18035	+14.99945	 9.818	 16.117
 	IC3473    	188.07960	+18.24536	 8.783	
 	IC3474    	188.15235	+02.66077	 8.845	 19.643
 	IC3475    	188.17028	+12.77134	 9.853	
 	IC3476    	188.17449	+14.05035	 9.194	 13.450
 	IC3517    	188.62856	+09.15452	 8.808	 23.267
 	IC3521    	188.66370	+07.15879	 9.373	 16.700
 	IC3522    	188.68983	+15.22023	 8.329	 16.800
 	IC3576    	189.15694	+06.62058	 8.935	 16.800
 	IC3583    	189.18235	+13.25844	 8.960	 14.200
 	IC3611    	189.76718	+13.36363	 9.768	
 	IC3631    	189.95013	+12.97401	 9.858	 42.800
 	IC3687    	190.56300	+38.50260	 7.613	  4.160
 	IC3718    	191.18986	+12.35101	 8.911	
 	IC3727    	191.27361	+10.90094	 9.577	
 	IC3742    	191.38326	+13.33244	 9.310	 23.600
 	IC3806    	192.23090	+14.90763	 9.490	
 	IC3881    	193.70237	+19.17728	 8.917	
 	IC3908    	194.16935	-07.56252	10.160	 20.975
 	IC4182    	196.45575	+37.60523	 8.452	  4.272
 	IC4213    	198.04635	+35.67038	 9.213	 19.550
 	IC4214    	199.42789	-32.10172	10.708	 27.300
 	IC4216    	199.25779	-10.76994	 9.970	
 	IC4221    	199.62652	-14.60889	10.133	 37.500
 	IC4231    	200.80650	-26.29952	 9.800	 29.900
 	NGC3952   	178.41940	-03.99662	 9.521	 27.000
 	NGC3953   	178.45424	+52.32681	10.987	 18.445
 	NGC3955   	178.48817	-23.16422	10.285	 20.600
 	NGC3956   	178.50300	-20.56733	10.026	 27.294
 	NGC3962   	178.66713	-13.97508	11.119	 30.730
 	NGC3972   	178.93807	+55.32037	 9.877	 19.288
 	NGC3976   	178.98857	+06.74932	10.806	 35.600
 	NGC3981   	179.03104	-19.89595	10.502	 23.778
 	NGC3982   	179.11723	+55.12527	10.258	 21.973
