_RAJ2000;_DEJ2000;Name;Dist;RAJ2000;DEJ2000;logMBH
deg;deg; ;Mpc;"h:m:s";"d:m:s";[Msun]
-----------;-----------;----------------------------;------;-----------;-----------;-----
133.3864167;+51.3137222;NGC 2681                    ;17.200;08 53 32.74;+51 18 49.4; 6.94
133.1722917;+33.4218056;NGC 2683                    ; 8.590;08 52 41.35;+33 25 18.5; 7.34
138.4293333;+76.4753333;NGC 2748                    ;23.100;09 13 43.04;+76 28 31.2; 6.32
137.9062500;+60.0372222;NGC 2768                    ;23.000;09 11 37.50;+60 02 14.0; 8.09
137.3904583;+33.1235278;NGC 2770                    ;36.000;09 09 33.71;+33 07 24.7; 6.27
138.1016250;+35.0274167;NGC 2778                    ;23.200;09 12 24.39;+35 01 38.7; 7.83
138.5213333;+40.1138056;NGC 2782                    ;32.500;09 14 05.12;+40 06 49.7; 8.11
139.8272500;+69.2033889;NGC 2787                    ; 7.480;09 19 18.54;+69 12 12.2; 8.33
139.3456250;+41.9997222;NGC 2798                    ;36.600;09 17 22.95;+41 59 59.0; 7.01
139.3793333;+41.9941389;NGC 2799                    ;27.400;09 17 31.04;+41 59 38.9;
140.0850417;+64.1027778;NGC 2805                    ;28.200;09 20 20.41;+64 06 10.0;
139.4704583;-22.3546667;NGC 2835                    ;17.400;09 17 52.91;-22 21 16.8;
140.5110833;+50.9764722;NGC 2841                    ;14.600;09 22 02.66;+50 58 35.3; 8.55
140.8758333;-23.1615000;NGC 2865                    ;38.900;09 23 30.20;-23 09 41.4; 7.96
143.0421250;+21.5008333;NGC 2903                    ;11.700;09 32 10.11;+21 30 03.0; 6.48
143.0260417; +8.4419167;NGC 2906                    ;42.650;09 32 06.25;+08 26 30.9;
