NAME	RA	DEC	Redshift	r_SDSS	Current Status	Obs. Date	SDSS picture (1.5'x1.5')
UGC05111	09:36:52.55	+66:47:17.87	0.0224952	13.8657	V500+V1200 Completed	2014-04-27	UGC05111
UGC05113	09:36:57.08	+66:32:55.19	0.0227428	13.7048	V500+V1200 Completed	2014-04-25	UGC05113
UGC05244	09:48:47.77	+64:10:00.87	0.0100457	14.4568	V500+V1200 Completed	2014-04-26	UGC05244
UGC05358	09:58:47.13	+11:23:19.31	0.0097046	14.7771	V500+V1200 Completed	2011-04-04	UGC05358
UGC05359	09:58:51.64	+19:12:53.91	0.0282961	14.1069	V500+V1200 Completed	2012-02-25	UGC05359
UGC05396	10:01:40.48	+10:45:23.13	0.0180852	13.9008	V500+V1200 Completed	2012-02-26	UGC05396
SDSSJ100141.02+371447.4	10:01:41.15	+37:14:51.68	0.00523	15.0542	V500+V1200 Completed	2013-12-05	SDSSJ100141.02+371447.4
NGC3106	10:04:05.25	+31:11:07.65	0.0207095	12.6883	V500+V1200 Completed	2013-01-09	NGC3106
NGC3057	10:05:39.51	+80:17:12.01	0.005084	13.7073	V500+V1200 Completed	2013-01-11	NGC3057
UGC05498NED01	10:12:03.65	+23:05:07.59	0.0210287	13.8521	V500+V1200 Completed	2013-01-08	UGC05498NED01
NGC3158	10:13:50.51	+38:45:53.62	0.0231293	12.2397	V500+V1200 Completed	2012-12-13	NGC3158
NGC3160	10:13:55.11	+38:50:34.53	0.0228914	13.7075	V500+V1200 Completed	2012-01-20	NGC3160
UGC05520	10:15:00.43	+65:08:23.73	0.0109994	13.6492	V500, Completed	2015-03-28	UGC05520
NGC3182	10:19:33.03	+58:12:20.62	0.00705809	12.3706	V500, Completed	2015-01-28	NGC3182
UGC05598	10:22:14.00	+20:35:21.88	0.0187573	14.1961	V500+V1200 Completed	2012-04-24	UGC05598
NGC3300	10:36:38.44	+14:10:15.97	0.0100871	12.3608	V500+V1200 Completed	2013-02-07	NGC3300
